Dia,Mes,Umidade,Velocidade do Vento,Temperatura Prevista (ÂºC)
1,1,57,11,16.746199
2,1,68,6,16.62685
3,1,73,11,10.342938
4,1,77,11,8.742205
5,1,88,2,12.926599
6,1,96,6,5.6042757
7,1,73,17,6.487543
8,1,78,1,18.022163
9,1,45,19,15.151973
10,1,53,0,30.736427
11,1,52,3,26.332863
12,1,82,19,4.019813
13,1,60,3,22.968687
14,1,55,10,18.346119
15,1,46,7,24.69723
16,1,99,7,3.6347618
17,1,55,14,15.148067
18,1,52,10,19.546911
19,1,94,10,3.491659
20,1,51,12,18.34799
21,1,52,5,24.18445
22,1,47,8,23.290445
23,1,99,12,0.7792959
24,1,56,14,14.747722
25,1,92,17,1.5103486
26,1,41,1,35.70394
27,1,45,10,22.348032
28,1,98,2,8.954865
29,1,52,3,26.332863
30,1,75,2,18.089851
31,1,82,15,4.580916
1,2,42,13,21.150005
2,2,41,19,16.752787
3,2,47,9,22.347546
4,2,46,2,31.169395
5,2,50,16,15.549634
6,2,98,4,6.7067122
7,2,45,8,24.121645
8,2,48,2,30.084858
9,2,42,1,35.10761
10,2,73,5,15.653117
11,2,62,5,20.083609
12,2,50,9,21.14667
13,2,68,17,8.125456
14,2,67,7,15.989356
15,2,57,11,16.746199
16,2,46,6,25.68829
17,2,45,9,23.148157
18,2,73,2,18.884441
19,2,96,0,11.996552
20,2,64,14,11.545847
21,2,82,3,14.185723
22,2,54,19,11.66975
23,2,76,19,5.224838
24,2,41,8,25.785429
25,2,43,15,19.151041
26,2,67,19,7.4925165
27,2,88,10,5.375832
28,2,73,18,5.9672804
1,3,70,16,7.990651
2,3,97,14,0.43760648
3,3,75,13,7.943221
4,3,57,2,25.27753
5,3,53,9,19.946362
6,3,58,17,11.548614
7,3,58,18,10.880286
8,3,68,12,11.544221
9,3,83,11,6.379911
10,3,62,16,10.747271
11,3,63,4,20.720615
12,3,80,0,18.351894
13,3,77,16,5.6980777
14,3,44,12,21.148947
15,3,65,13,11.945623
16,3,82,16,4.0603275
17,3,95,8,4.320093
18,3,92,3,10.213747
19,3,56,14,14.747722
20,3,59,16,11.947659
21,3,49,6,24.441042
22,3,49,6,24.441042
23,3,83,8,8.931028
24,3,53,3,25.819435
25,3,86,8,7.770912
26,3,81,18,3.9705124
27,3,83,14,4.773645
28,3,79,0,18.748337
29,3,80,6,11.793165
30,3,86,11,5.433024
31,3,82,1,16.43347
1,4,54,4,24.345451
2,4,45,11,21.548641
3,4,60,18,10.224648
4,4,89,13,3.348556
5,4,79,17,4.5224223
6,4,58,4,22.734468
7,4,69,12,11.144119
8,4,66,14,10.7454815
9,4,61,0,26.462053
10,4,52,13,17.14817
11,4,83,16,3.7328756
12,4,66,5,18.47238
13,4,57,0,28.599403
14,4,92,6,7.15099
15,4,73,7,13.648214
16,4,61,12,14.345749
17,4,50,8,22.042873
18,4,73,16,7.00805
19,4,41,14,20.750717
20,4,86,15,3.2706187
21,4,56,17,12.348656
22,4,81,0,17.954151
23,4,75,16,6.3531446
24,4,59,16,11.947659
25,4,94,16,0.90954465
26,4,96,6,5.6042757
27,4,81,15,4.908124
28,4,67,12,11.944567
29,4,63,14,11.946276
30,4,96,3,8.624891
1,5,47,17,15.950712
2,5,71,3,18.554956
3,5,80,5,12.8335285
4,5,54,3,25.385815
5,5,62,5,20.083609
6,5,70,7,14.808331
7,5,66,19,7.7901115
8,5,70,11,11.543814
9,5,59,2,24.445112
10,5,88,17,2.3135626
11,5,60,18,10.224648
12,5,82,19,4.019813
13,5,57,5,22.105352
14,5,73,8,12.797732
15,5,84,15,3.9256046
16,5,44,17,17.151344
17,5,96,0,11.996552
18,5,63,18,9.242617
19,5,87,11,5.1186695
20,5,68,14,9.945033
21,5,44,18,16.351465
22,5,62,15,11.5469055
23,5,73,0,21.132025
24,5,97,15,0.31345937
25,5,86,17,2.7149663
26,5,94,5,7.227707
27,5,76,0,19.940344
28,5,94,4,8.295405
29,5,92,16,1.3739169
30,5,59,19,10.031757
31,5,70,10,12.343123
1,6,87,3,12.199614
2,6,40,2,34.52137
3,6,58,3,23.774422
4,6,80,17,4.194482
5,6,65,13,11.945623
6,6,51,19,12.751036
7,6,53,3,25.819435
8,6,49,16,15.949736
9,6,49,7,23.449982
10,6,68,1,21.994059
11,6,82,4,13.067504
12,6,84,17,3.1577797
13,6,68,5,17.666807
14,6,68,17,8.125456
15,6,62,6,19.043571
16,6,52,17,13.949959
17,6,59,9,17.544855
18,6,56,9,18.745895
19,6,60,16,11.547718
20,6,59,6,20.282438
21,6,82,10,7.6169076
22,6,91,4,9.48725
23,6,47,13,19.14925
24,6,43,8,24.953415
25,6,57,17,11.948716
26,6,47,2,30.624645
27,6,58,1,26.38908
28,6,71,4,17.497913
29,6,58,10,17.145811
30,6,80,0,18.351894
1,7,46,16,17.150368
2,7,44,13,20.349638
3,7,92,10,4.1197166
4,7,66,8,15.542962
5,7,56,4,23.540121
6,7,77,14,6.7391725
7,7,63,14,11.946276
8,7,70,1,21.199549
9,7,62,3,22.16344
10,7,89,18,2.3637586
11,7,71,5,16.458529
12,7,64,10,14.744387
13,7,53,18,12.75014
14,7,67,0,23.515472
15,7,54,9,19.545853
16,7,68,16,8.646206
17,7,87,0,15.571356
18,7,46,17,16.350815
19,7,99,14,0.0
20,7,60,7,18.875572
21,7,77,7,12.10093
22,7,74,17,6.1598463
23,7,40,10,24.349276
24,7,92,15,1.4481122
25,7,61,11,15.145302
26,7,93,19,1.8110353
27,7,48,7,23.865704
28,7,88,0,15.174101
29,7,97,3,8.227474
30,7,89,0,14.776766
31,7,70,7,14.808331
1,8,65,3,20.954916
2,8,86,3,12.597031
3,8,68,9,13.943044
4,8,72,2,19.281696
5,8,95,4,7.8979063
6,8,81,1,16.830645
7,8,64,3,21.357622
8,8,62,0,25.928205
9,8,82,5,12.027955
10,8,70,1,21.199549
11,8,46,2,31.169395
12,8,66,18,8.259853
13,8,85,11,5.7472157
14,8,59,14,13.547172
15,8,53,15,15.148638
16,8,91,2,11.734591
17,8,60,11,15.545566
18,8,80,11,7.541736
19,8,42,18,17.152157
20,8,81,5,12.430335
21,8,94,7,5.5273957
22,8,96,8,4.005983
23,8,96,18,0.957788
24,8,55,2,26.316267
25,8,95,2,10.14606
26,8,86,0,15.968529
27,8,83,6,10.631259
28,8,53,13,16.747662
29,8,72,8,13.184492
30,8,74,8,12.410892
31,8,67,11,12.744526
1,9,68,6,16.62685
2,9,93,16,1.1420561
3,9,82,0,17.557222
4,9,94,5,7.227707
5,9,66,16,9.300948
6,9,62,5,20.083609
7,9,65,8,15.943066
8,9,42,0,37.0
9,9,98,12,1.0935688
10,9,47,10,21.548237
11,9,76,5,14.44435
12,9,84,17,3.1577797
13,9,84,11,6.0607567
14,9,75,9,11.17422
15,9,66,16,9.300948
16,9,83,12,5.814903
17,9,75,4,15.887093
18,9,78,14,6.411639
19,9,61,19,9.376365
20,9,54,2,26.850605
21,9,83,4,12.664881
22,9,71,16,7.663117
23,9,50,12,18.747847
24,9,88,8,6.997148
25,9,88,18,2.5644605
26,9,75,19,5.4258647
27,9,44,17,17.151344
28,9,63,6,18.640947
29,9,81,15,4.908124
30,9,63,2,22.85666
1,10,66,19,7.7901115
2,10,61,11,15.145302
3,10,73,0,21.132025
4,10,40,13,21.950615
5,10,60,7,18.875572
6,10,70,6,15.821359
7,10,46,4,28.082884
8,10,90,15,1.9608904
9,10,70,3,18.952372
10,10,94,12,2.3493586
11,10,57,12,15.946807
12,10,48,7,23.865704
13,10,61,8,17.544369
14,10,51,6,23.609028
15,10,81,16,4.387943
16,10,86,7,8.620743
17,10,63,3,21.760897
18,10,89,16,2.0708005
19,10,52,0,31.271414
20,10,56,11,17.1463
21,10,99,17,0.1048661
22,10,97,15,0.31345937
23,10,48,3,28.520164
24,10,78,1,18.022163
25,10,87,15,2.9428408
26,10,52,14,16.3487
27,10,78,2,16.898819
28,10,64,3,21.357622
29,10,57,9,18.34571
30,10,42,13,21.150005
31,10,89,7,7.4607067
1,11,81,16,4.387943
2,11,85,14,4.1188216
3,11,59,7,19.29146
4,11,52,1,29.59567
5,11,70,2,20.07588
6,11,95,4,7.8979063
7,11,41,11,23.149944
8,11,86,0,15.968529
9,11,94,1,11.667067
10,11,82,10,7.6169076
11,11,82,18,3.769485
12,11,62,4,21.12324
13,11,54,13,16.347235
14,11,85,7,9.007421
15,11,60,14,13.146745
16,11,80,7,10.940976
17,11,53,10,19.14689
18,11,90,4,9.88426
19,11,65,13,11.945623
20,11,79,13,6.6046934
21,11,73,2,18.884441
22,11,71,4,17.497913
23,11,57,4,23.137335
24,11,54,0,30.202576
25,11,46,13,19.54919
26,11,60,11,15.545566
27,11,46,19,14.75179
28,11,88,19,2.815358
29,11,59,0,27.530647
30,11,55,4,23.943153
1,12,67,8,15.1430235
2,12,83,9,8.080466
3,12,40,1,36.301163
4,12,83,18,3.5683763
5,12,88,16,2.3029866
6,12,55,16,13.548961
7,12,88,15,2.6158764
8,12,59,9,17.544855
9,12,65,0,24.361721
10,12,81,19,4.2210846
11,12,91,10,4.433827
12,12,91,6,7.537343
13,12,59,13,14.346399
14,12,96,7,4.753713
15,12,42,0,37.0
16,12,76,18,5.0176272
17,12,96,14,0.65636903
18,12,52,12,17.947481
19,12,61,0,26.462053
20,12,98,7,3.980356
21,12,77,15,6.2185845
22,12,68,0,23.118216
23,12,73,14,8.049552
24,12,62,1,24.377098
25,12,86,13,4.311795
26,12,94,14,1.20714
27,12,93,11,3.234497
28,12,86,11,5.433024
29,12,58,2,24.842447
30,12,44,14,19.550003
31,12,56,19,11.0143585
